"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","02.01.2020 11:00 - 02.01.2020 12:00 (CET)","524","n/e","n/e","128","222","20","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","75","82","284"
"BZN|DK2","02.01.2020 12:00 - 02.01.2020 13:00 (CET)","525","n/e","n/e","115","197","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","17","74","78","289"
"BZN|DK2","02.01.2020 13:00 - 02.01.2020 14:00 (CET)","524","n/e","n/e","115","200","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","76","62","300"
"BZN|DK2","02.01.2020 14:00 - 02.01.2020 15:00 (CET)","510","n/e","n/e","114","197","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","72","79","309"
"BZN|DK2","02.01.2020 15:00 - 02.01.2020 16:00 (CET)","502","n/e","n/e","115","196","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","71","80","293"
"BZN|DK2","02.01.2020 16:00 - 02.01.2020 17:00 (CET)","496","n/e","n/e","115","193","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","88","281"
"BZN|DK2","02.01.2020 17:00 - 02.01.2020 18:00 (CET)","490","n/e","n/e","115","191","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","105","326"
"BZN|DK2","02.01.2020 18:00 - 02.01.2020 19:00 (CET)","496","n/e","n/e","116","192","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","140","417"
"BZN|DK2","02.01.2020 19:00 - 02.01.2020 20:00 (CET)","496","n/e","n/e","115","201","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","71","190","483"
"BZN|DK2","02.01.2020 20:00 - 02.01.2020 21:00 (CET)","497","n/e","n/e","109","198","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","190","528"
"BZN|DK2","02.01.2020 21:00 - 02.01.2020 22:00 (CET)","441","n/e","n/e","106","190","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","63","174","492"
